Datum,Temperatur,Feuchtigkeit,CO2,Wassergehalt,Anwesenheit
2015-02-02 14:19:00,23.7,26.272,749.2,0.0047641630241641,1
2015-02-02 14:19:59,23.718,26.29,760.4,0.0047726609921251,1
2015-02-02 14:21:00,23.73,26.23,769.666666666667,0.0047651525524654,1
2015-02-02 14:22:00,23.7225,26.125,774.75,0.0047437733559968,1
2015-02-02 14:23:00,23.754,26.2,779.0,0.0047665939999861,1
2015-02-02 14:23:59,23.76,26.26,790.0,0.0047793324316345,1
2015-02-02 14:25:00,23.73,26.29,798.0,0.0047761363327489,1
2015-02-02 14:25:59,23.754,26.29,797.0,0.0047830937083903,1
2015-02-02 14:26:59,23.754,26.35,803.2,0.0047940939966204,1
2015-02-02 14:28:00,23.736,26.39,809.0,0.0047961887103893,1
2015-02-02 14:29:00,23.745,26.445,815.25,0.0048088862206771,1
2015-02-02 14:30:00,23.7,26.56,824.0,0.0048167933677358,1
2015-02-02 14:31:00,23.7,26.6,832.0,0.0048241038367487,1
2015-02-02 14:31:59,23.7,26.7,845.333333333333,0.0048423807553356,1
2015-02-02 14:32:59,23.7,26.774,852.4,0.0048559063612897,1
2015-02-02 14:34:00,23.7,26.89,861.0,0.0048771098371907,1
2015-02-02 14:35:00,23.7,26.9725,880.0,0.004892190768364,1
2015-02-02 14:36:00,23.6,26.89,891.0,0.0048475944139699,1
2015-02-02 14:37:00,23.64,26.976,897.6,0.0048750447811301,1
2015-02-02 14:38:00,23.65,27.05,900.5,0.0048914915892962,1
2015-02-02 14:38:59,23.64,27.1,908.8,0.0048976302434582,1
2015-02-02 14:39:59,23.6,27.16,918.0,0.0048966518452253,1
2015-02-02 14:41:00,23.6,27.236,925.2,0.0049104619885559,1
2015-02-02 14:42:00,23.6,27.29,929.4,0.0049202748285747,1
2015-02-02 14:43:00,23.6,27.33,936.4,0.0049275437970155,1
2015-02-02 14:44:00,23.6,27.34,950.0,0.0049293610654639,1
2015-02-02 14:44:59,23.625,27.3925,961.0,0.0049464057474414,1
2015-02-02 14:45:59,23.6,27.39,963.0,0.0049384475657387,1
2015-02-02 14:47:00,23.6,27.412,958.6,0.0049424457093031,1
2015-02-02 14:48:00,23.6,27.5,965.333333333333,0.0049584387935172,1
2015-02-02 14:49:00,23.6,27.525,979.25,0.0049629824321816,1
2015-02-02 14:50:00,23.6,27.6,978.428571428571,0.0049766137433226,1
2015-02-02 14:51:00,23.6,27.6,983.0,0.0049766137433226,1
2015-02-02 14:51:59,23.6,27.54,992.6,0.0049657086469915,1
2015-02-02 14:53:00,23.6,27.6,997.2,0.0049766137433226,1
2015-02-02 14:54:00,23.6166666666667,27.6333333333333,999.5,0.0049877184213918,1
2015-02-02 14:55:00,23.6666666666667,27.7,1001.0,0.0050150508609538,1
2015-02-02 14:55:59,23.6,27.7,1009.5,0.0049947897469088,1
2015-02-02 14:57:00,23.6,27.7225,1019.0,0.0049988794929492,1
2015-02-02 14:57:59,23.6,27.79,1021.0,0.0050111490511946,1
2015-02-02 14:58:59,23.6,27.8566666666667,1024.66666666667,0.0050232676047643,1
2015-02-02 15:00:00,23.6,27.8042857142857,1030.42857142857,0.0050137458446678,1
2015-02-02 15:01:00,23.575,27.79,1026.25,0.0050035447484533,1
2015-02-02 15:02:00,23.54,27.81,1028.0,0.0049965380106032,1
2015-02-02 15:03:00,23.6,27.978,1034.8,0.0050453245744206,1
2015-02-02 15:04:00,23.525,28.0,1055.5,0.0050263667581946,1
2015-02-02 15:04:59,23.5,27.978,1055.25,0.0050147597241768,1
2015-02-02 15:06:00,23.5,28.0,1050.0,0.0050187348078695,1
2015-02-02 15:07:00,23.5,28.0,1051.25,0.0050187348078695,1
2015-02-02 15:08:00,23.5,28.0,1053.6,0.0050187348078695,1
2015-02-02 15:08:59,23.5,28.0,1055.5,0.0050187348078695,1
2015-02-02 15:10:00,23.5,28.025,1055.0,0.0050232520096096,1
2015-02-02 15:10:59,23.445,28.125,1059.5,0.0050244911474795,1
2015-02-02 15:11:59,23.39,28.18,1060.0,0.0050175822743852,1
2015-02-02 15:13:00,23.39,28.2,1073.6,0.0050211721163507,1
2015-02-02 15:14:00,23.39,28.2,1078.6,0.0050211721163507,1
2015-02-02 15:15:00,23.39,28.2,1081.0,0.0050211721163507,1
2015-02-02 15:16:00,23.39,28.2225,1082.0,0.0050252107376962,1
2015-02-02 15:16:59,23.39,28.3733333333333,1088.83333333333,0.0050522858020048,1
2015-02-02 15:17:59,23.37,28.39,1090.6,0.0050491295423263,1
2015-02-02 15:19:00,23.39,28.3233333333333,1086.0,0.0050433103834894,1
2015-02-02 15:20:00,23.3733333333333,28.445,1092.5,0.0050600170343187,1
2015-02-02 15:21:00,23.39,28.5,1103.75,,1
2015-02-02 15:22:00,23.3233333333333,28.5,1104.5,0.0050544759894773,1
2015-02-02 15:23:00,23.365,28.5,1103.5,0.0050673102981129,1
2015-02-02 15:23:59,23.29,28.5,1112.0,0.005044229203962,1
